UniqueID,loan_default
655269,0.5869715
723482,0.5854868
758529,0.5666888
763449,0.6528812
708663,0.65765625
725530,0.6909253
708592,0.63476884
714975,0.57188934
712795,0.6287816
708656,0.61568123
712520,0.4553718
753695,0.63827837
708646,0.39061174
730225,0.5532372
714877,0.5969306
769166,0.5670901
710254,0.4379023
708812,0.65765625
726172,0.6619055
716959,0.6004608
725935,0.6637976
736039,0.73260725
748400,0.82913285
753652,0.5791964
695108,0.36206824
695320,0.23248146
662145,0.5387877
688068,0.10012799
662099,0.18416142
723985,0.47801745
757491,0.26654854
688610,0.38511255
733285,0.32373664
722392,0.22016452
689941,0.3807755
662086,0.17398368
662336,0.25733903
662373,0.33907977
662111,0.1735491
711459,0.08620057
662098,0.2844721
729627,0.2838389
729023,0.3389179
698148,0.3497013
662059,0.39065838
662318,0.28888914
662400,0.13026509
745881,0.41141278
707400,0.03638972
665203,0.55364674
662265,0.3972254
724712,0.3218555
662430,0.386445
662431,0.46468705
718315,0.4572859
733477,0.48390448
727178,0.32905766
709205,0.05528686
760975,0.3744213
728884,0.20322907
697644,0.37680736
766710,0.5129462
743227,0.20226423
728888,0.53091455
760702,0.28997278
677241,0.62240326
728922,0.28441897
728655,0.39899758
751372,0.59560895
741935,0.2249789
728307,0.4208804
717735,0.48697793
702566,0.36920145
757194,0.29761738
727264,0.34042814
767201,0.37380403
756322,0.18898262
728833,0.27361226
710833,0.8846841
742470,0.45692673
697634,0.60228825
702435,0.54530364
761300,0.6038539
734035,0.77577126
728916,0.53797776
728234,0.55856264
747459,0.51208574
742464,0.40093625
728178,0.6975306
756405,0.432472
729226,0.5997504
729812,0.6320902
761338,0.50112265
710494,0.5369168
764460,0.36714017
710622,0.50792754
756779,0.46051976
712028,0.5094862
756503,0.30907106
767068,0.42118615
756908,0.49423325
756887,0.46258685
766830,0.4878551
750180,0.46051976
654130,0.46085772
718310,0.50574696
710116,0.50176156
718090,0.39526194
717738,0.2936953
717763,0.47378683
718122,0.5319917
756482,0.45183432
654116,0.39526194
756860,0.3711409
718369,0.29974592
756598,0.40279815
717871,0.5319917
768065,0.39451513
718014,0.52145785
754576,0.49186915
738611,0.5094862
757087,0.44540158
766961,0.45183432
717826,0.5123457
717843,0.4887717
715776,0.4444913
721686,0.45183432
717640,0.3248601
718049,0.59726006
756661,0.6324772
757067,0.46727663
766290,0.47640902
764814,0.5041851
766918,0.4924751
718041,0.5945242
710788,0.5094862
767614,0.33282188
757168,0.2804202
690608,0.71692353
692926,0.42014176
691329,0.1198546
683899,0.30140364
691102,0.23074202
758084,0.35895902
695277,0.37680006
680791,0.557602
739107,0.66666204
719142,0.3024577
693504,0.48204544
739745,0.386851
691131,0.057203323
766835,0.19117855
689547,0.29749388
719266,0.3582689
681174,0.30172384
710506,0.38005796
708686,0.31464803
739254,0.21256875
684079,0.2588007
745880,0.3949521
680848,0.36618057
692316,0.42856053
739169,0.2862653
757097,0.2824134
683767,0.15094309
682686,0.32321173
681184,0.35535675
719076,0.45368037
739539,0.3157469
693069,0.21016702
689637,0.3949521
719214,0.5488978
680936,0.17991494
766344,0.43692565
729262,0.20448469
766080,0.03630405
729137,0.5148329
729147,0.52487636
754653,0.5096112
729006,0.39042366
721015,0.47563946
743861,0.23529607
724054,0.46274948
710959,0.26287958
755247,0.457628
729097,0.6067606
728996,0.44678736
728557,0.47455892
739664,0.2281224
766297,0.487095
753448,0.3792221
766357,0.3858852
746654,0.45311937
703653,0.3953965
729025,0.291655
730115,0.43828875
759298,0.25653675
766104,0.45549533
711093,0.28367367
766735,0.6878499
710969,0.18034014
766145,0.520857
729062,0.41798568
744371,0.49215248
747659,0.37813202
662312,0.645787
761597,0.17723249
766813,0.7284736
663407,0.58378017
668048,0.30851352
663839,0.4246964
679710,0.5160251
669243,0.48278946
657976,0.5290091
663606,0.48764655
657988,0.5069924
759622,0.24729137
759821,0.46882924
662711,0.51192427
665807,0.38417426
657990,0.33030725
675964,0.5545128
663616,0.3665129
668162,0.57731986
662639,0.4290547
678807,0.31061846
662184,0.7277307
674086,0.4826278
677849,0.48017833
664508,0.5481922
759356,0.5131711
668185,0.30151576
672969,0.54402614
699983,0.62876284
662810,0.4984777
707024,0.4228864
663060,0.5485065
739466,0.29086763
759755,0.44570935
669312,0.5481922
663024,0.4149889
658299,0.58956647
670527,0.30541614
