UniqueID,loan_default
655269,0.20969148
758529,0.26846638
708663,0.27177295
725530,0.32106516
714975,0.23594338
712795,0.2746018
708656,0.27705267
753695,0.26840875
730225,0.2131389
714877,0.22017677
769166,0.21450527
708812,0.2622338
726172,0.32537588
716959,0.20788367
725935,0.27651608
753652,0.25020233
695108,0.13347435
688610,0.12840223
733285,0.11483266
662336,0.09425748
662373,0.12121034
662098,0.09423574
729627,0.09598141
662318,0.09659177
697644,0.14484808
766710,0.21823978
728922,0.11472433
728655,0.123066
728307,0.14848825
717735,0.23238377
742470,0.1668669
697634,0.2078157
742464,0.15311287
756779,0.1917003
712028,0.2005548
756503,0.11513085
767068,0.14294791
756908,0.22150557
756887,0.17641245
750180,0.20647633
654130,0.19821139
718090,0.13225886
717763,0.15652564
718122,0.26842853
756482,0.1861829
654116,0.15220632
756598,0.14422105
717871,0.19858976
768065,0.13757023
738611,0.22645037
757087,0.18824267
766961,0.14909406
715776,0.1616647
721686,0.16908203
717640,0.124206774
718049,0.2107711
757067,0.18030648
766290,0.20473993
766918,0.19894403
710788,0.22298364
767614,0.117912166
689547,0.11480155
719266,0.12411484
681174,0.10485446
708686,0.10317523
745880,0.14852664
680848,0.1296707
692316,0.15762855
681184,0.13134812
739539,0.10424751
689637,0.13650207
729137,0.19789214
729147,0.21029763
721015,0.15643957
710959,0.09823505
755247,0.17528069
729097,0.23210506
728996,0.14092205
753448,0.12839487
730115,0.15529338
766104,0.1907804
711093,0.11076051
766145,0.19966643
729062,0.1431497
747659,0.19880962
663839,0.17595463
679710,0.21859647
657976,0.25305513
663606,0.20434101
657988,0.20377131
759622,0.107281476
759821,0.1855135
662711,0.20154333
657990,0.11865732
668162,0.2601998
662639,0.16426365
678807,0.12768364
674086,0.20109744
664508,0.25723454
672969,0.2685134
699983,0.35215768
662810,0.22712584
663060,0.22152293
669312,0.2681094
670527,0.115114935
708480,0.24153693
683163,0.2521404
748647,0.22549175
748920,0.24056502
674233,0.23792462
769170,0.19172983
662568,0.21063864
668200,0.13998908
676421,0.26329687
662915,0.13446824
723174,0.12659183
761592,0.123805165
675378,0.26966408
657351,0.1320924
694935,0.14345784
658028,0.18328397
659732,0.15898536
675401,0.12840484
726234,0.15196788
733551,0.12782283
708463,0.22337621
741730,0.13267864
726409,0.24440913
719133,0.12274164
685223,0.22796392
719052,0.1386266
755368,0.13872652
731079,0.14703305
719048,0.2568539
654797,0.2765148
720137,0.26812986
755456,0.16650887
726293,0.13080122
755082,0.2879612
696157,0.14050919
654131,0.17217381
757029,0.123976074
673338,0.28749907
743413,0.14156014
665039,0.1980087
731100,0.16942982
719376,0.16831958
740263,0.28459263
747778,0.2596811
665238,0.2686484
693374,0.2084934
673366,0.30732757
750783,0.29216322
708010,0.23018742
686036,0.36094546
730736,0.28919363
744514,0.19980669
740218,0.1282492
671479,0.29981202
680551,0.30192295
744022,0.28522995
719757,0.30542743
672293,0.12745504
702068,0.25576472
735619,0.23274772
735572,0.2470385
713196,0.31205568
695693,0.25926307
720715,0.24640082
660287,0.14437267
742295,0.13773724
662043,0.16710015
665028,0.29143134
740350,0.15042017
740194,0.112092026
719261,0.20564143
755624,0.17742829
731111,0.21656947
719181,0.11991093
756186,0.2811458
719247,0.20970006
731114,0.21887392
689078,0.32237127
655531,0.29128265
655540,0.23417126
748454,0.25900906
709046,0.283982
669264,0.19584899
702271,0.1536571
707175,0.30961898
661823,0.2943332
661806,0.18280254
665290,0.2687006
665183,0.3034781
763563,0.20632012
669674,0.2002389
700311,0.1681058
763736,0.16920255
713383,0.18402928
733303,0.23486996
735433,0.26515588
668800,0.12887366
751042,0.19855797
726358,0.29757497
713214,0.1986782
734877,0.32020533
688840,0.25319242
763187,0.2489457
677099,0.27349547
692688,0.26404512
690461,0.23618066
732198,0.22981061
754168,0.22714776
761542,0.31022033
684765,0.24021609
754377,0.25272545
710450,0.18675871
686352,0.1507298
668757,0.12856792
758471,0.11423257
741750,0.10850808
748789,0.29487833
715206,0.27334058
732122,0.2731082
747698,0.24292672
684554,0.16161413
753470,0.3077893
759073,0.19272101
765702,0.1850416
657576,0.17869215
706077,0.28415117
709521,0.25168315
706149,0.21315378
746636,0.19311158
710631,0.17902946
685386,0.21665113
683698,0.21183157
749335,0.101296134
681621,0.12587886
683374,0.1344394
677735,0.23359907
769578,0.22572446
665458,0.13081205
685292,0.22760212
681929,0.106225856
763493,0.2527954
764740,0.1935637
742677,0.19668637
672493,0.13281694
752650,0.1183849
665667,0.11628442
667480,0.21842486
749386,0.19371493
674062,0.25380185
702218,0.13777487
696298,0.2733282
751606,0.11247022
696736,0.16700579
732696,0.1538843
728279,0.24341047
709468,0.18865013
734301,0.12210026
734175,0.10913598
733858,0.21323328
717951,0.20326822
697071,0.12548722
654861,0.21227334
718886,0.13124596
